"Id produit";"Nom du produit";"Référence du produit";"ID du groupe client";"Nom du groupe client";"Prix spécifique"
8312;"Tapis Hyundai Kona Hybrid - De 10/2020 à ce jour - Vendome";250750;47;"Tarifs Dumortier Souyri";11.500000
8312;"Tapis Hyundai Kona Hybrid - De 10/2020 à ce jour - Vendome";250750;19;"Remises Pro";12.650000
8312;"Tapis Hyundai Kona Hybrid - De 10/2020 à ce jour - Vendome";250750;31;"Remises Pro +";12.080000
8311;"Tapis Fiat 500 100% électrique - De 08/2020 à ce jour - Vendome";250700;47;"Tarifs Dumortier Souyri";11.500000
8311;"Tapis Fiat 500 100% électrique - De 08/2020 à ce jour - Vendome";250700;19;"Remises Pro";12.650000
8311;"Tapis Fiat 500 100% électrique - De 08/2020 à ce jour - Vendome";250700;31;"Remises Pro +";12.080000
8310;"Tapis DS DS4 - De 02/2021 à ce jour - Vendome";250610;47;"Tarifs Dumortier Souyri";11.500000
8310;"Tapis DS DS4 - De 02/2021 à ce jour - Vendome";250610;19;"Remises Pro";12.650000
8310;"Tapis DS DS4 - De 02/2021 à ce jour - Vendome";250610;31;"Remises Pro +";12.080000
8309;"Tapis Dacia Spring 100% électrique - De 03/2021 à ce jour - Vendome";250710;47;"Tarifs Dumortier Souyri";11.500000
8309;"Tapis Dacia Spring 100% électrique - De 03/2021 à ce jour - Vendome";250710;19;"Remises Pro";12.650000
8309;"Tapis Dacia Spring 100% électrique - De 03/2021 à ce jour - Vendome";250710;31;"Remises Pro +";12.080000
8308;"Tapis Dacia Sandero 3 & Sandero 3 Stepway - De 01/2021 à ce jour - Vendome";250600;47;"Tarifs Dumortier Souyri";11.500000
8308;"Tapis Dacia Sandero 3 & Sandero 3 Stepway - De 01/2021 à ce jour - Vendome";250600;19;"Remises Pro";12.650000
8308;"Tapis Dacia Sandero 3 & Sandero 3 Stepway - De 01/2021 à ce jour - Vendome";250600;31;"Remises Pro +";12.080000
8307;"Tapis Dacia Duster 2 - De 11/2017 à ce jour - Vendome";250540;47;"Tarifs Dumortier Souyri";11.500000
