id product;prix ht;prix unite ht;reference
"8376";"12.50";"0";"152"
"8377";"15.00";"0";"157"
"8378";"12.50";"0";"161"
"8380";"13.00";"0";"163"
"7111";"14.58";"0";"562"
"7189";"20.00";"0";"651"
"7201";"12.50";"0";"683"
"7203";"12.50";"0";"684"
"7225";"43.50";"0";"731"
"7227";"25.90";"0";"732"
"7229";"34.50";"0";"733"
"7231";"38.33";"0";""
"7233";"69.00";"0";"735"
"7235";"69.00";"0";"735B"
"7261";"19.17";"0";"789"
"7347";"16.00";"0";"931"
"7349";"33.33";"0";"933"
"7351";"15.00";"0";"934"
"7353";"27.50";"0";"936"
"7367";"13.50";"0";"949"
"7371";"14.17";"0";"956"
"7471";"17.58";"0";"98710"
"7493";"20.83";"0";"993"
"8148";"23.33";"0";"987"
"8043";"36.67";"0";"238200"
"7923";"14.17";"0";"59801"
"8359";"29.17";"0";"99301"
"8352";"45.83";"0";"99302"
"8355";"16.67";"0";"241820"
"8357";"16.67";"0";"71903"
"8356";"16.67";"0";"251380"
"8223";"14.17";"0";"654"
"7491";"49.17";"0";"99002"
"7179";"26.67";"0";"635"
"7101";"16.67";"0";"55002"
"7425";"17.50";"0";"97500"
"7441";"16.67";"0";"97604"
"6953";"12.50";"0";"220"
"7099";"14.17";"0";"550"
"7431";"25.00";"0";"97530"
"7433";"15.00";"0";"976"
"7103";"17.00";"0";"55003"
"7107";"29.17";"0";"55201"
"7429";"36.67";"0";"97520"
"7105";"17.50";"0";"552"
"7445";"20.00";"0";"97606"
"7155";"14.17";"0";"620"
"7053";"12.50";"0";"508"
"7177";"15.00";"0";"633"
"7427";"25.83";"0";"97501"
"8379";"13.50";"0";"162"
"7391";"40.00";"0";"97201"
"7389";"20.00";"0";"972"
"7381";"16.67";"0";"971"
"7377";"15.50";"0";"970"
"7387";"16.67";"0";"97104"
"6961";"12.50";"0";"240"
"7077";"11.67";"0";"541"
"6963";"18.00";"0";"243"
"7956";"29.99";"0";"245050"
"6719";"20.83";"0";"621K"
"6723";"33.33";"0";"625K"
"6715";"33.33";"0";"625"
"7523";"18.33";"0";"69701"
"6727";"40.00";"0";"693"
"6721";"25.00";"0";"623K"
"6725";"37.50";"0";"692"
"8300";"49.99";"0";"247270"
"8299";"33.33";"0";"247230"
"8295";"33.33";"0";"247170"
"8294";"37.49";"0";"247160"
"8269";"37.49";"0";"247500"
"8296";"33.33";"0";"247200"
"8290";"58.33";"0";"247120"
"8286";"33.33";"0";"247080"
"8283";"33.33";"0";"247060"
"8281";"49.99";"0";"247020"
"8280";"49.99";"0";"247010"
"8279";"66.66";"0";"247490"
"8277";"66.66";"0";"247460"
"8274";"49.99";"0";"246980"
"8273";"33.33";"0";"246970"
"8271";"33.33";"0";"247000"
"8270";"49.99";"0";"247190"
"8267";"37.49";"0";"247540"
"8264";"66.66";"0";"247480"
"7884";"25.00";"0";"71901"
"8025";"90.00";"0";"244860"
"8009";"20.83";"0";"244150"
"7813";"95.83";"0";"241350"
"8018";"80.00";"0";"244830"
"8051";"12.50";"0";"151"
"7891";"45.00";"0";"244350"
"8012";"45.00";"0";"244960"
"7998";"30.00";"0";"244020"
"8015";"46.00";"0";"244980"
"8014";"45.50";"0";"244970"
"8011";"25.00";"0";"244170"
"8010";"21.67";"0";"244160"
"8017";"52.50";"0";"244990"
"8003";"31.00";"0";"244420"
"8001";"30.00";"0";"244410"
"7978";"19.17";"0";"244140"
"7994";"25.83";"0";"243760"
"7990";"21.50";"0";"243990"
"7930";"20.00";"0";"110"
"7929";"15.00";"0";"234"
"7937";"23.71";"0";"237000"
"7892";"50.00";"0";"244360"
"7886";"27.00";"0";"116"
"7896";"51.00";"0";"244370"
"7920";"29.17";"0";"107"
"7995";"27.00";"0";"243850"
"7928";"15.00";"0";"226"
"7919";"15.00";"0";"247"
"7906";"15.00";"0";"249"
"7934";"39.00";"0";"241970"
"7972";"22.80";"0";"243840"
"7803";"35.60";"0";"243070"
"8022";"82.00";"0";"244840"
"7932";"27.00";"0";"244450"
"7949";"22.50";"0";"243720"
"7952";"22.50";"0";"243750"
"7959";"20.83";"0";"243870"
"7894";"52.00";"0";"244380"
"7954";"27.00";"0";"243770"
"7961";"22.50";"0";"243780"
"7890";"45.00";"0";"244340"
"7964";"33.00";"0";"243860"
"7967";"25.00";"0";"243930"
"7968";"27.00";"0";"243830"
"7970";"25.00";"0";"243900"
"7979";"22.50";"0";"243730"
"7974";"27.00";"0";"244000"
"7983";"27.00";"0";"243890"
"7931";"30.00";"0";"244400"
"7985";"27.00";"0";"243940"
"7942";"23.71";"0";"236990"
"7897";"58.00";"0";"244390"
"7980";"25.00";"0";"243740"
"8023";"85.00";"0";"244850"
"7986";"25.00";"0";"243660"
"7922";"19.58";"0";"241370"
"7963";"25.00";"0";"243960"
"7958";"25.00";"0";"245030"
