Product ID;Reference;stock entrepôt
8210;902510;18
8211;902520;19
8212;902530;18
8213;902540;17
8214;902550;9
8215;902560;9
8223;654;3090
8226;69940;4380
8227;131028;121
8229;131029;53
8230;141028;59
8233;141029;153
8234;131031;94
8235;141031;258
8237;151028;151
8238;151029;181
8240;151031;266
8241;161028;170
8243;161029;76
8244;161031;117
8245;581400;36758
8246;239810;15
8247;247420;890
8248;247450;1352
8249;247470;1955
8250;247560;907
8251;246930;1038
8252;246940;469
8255;246990;54
8256;247040;400
8257;247050;651
8260;247510;903
8262;247240;330
8263;247300;1173
8264;247480;458
8265;247530;2069
8267;247540;1394
8269;247500;1394
8270;247190;88
8271;247000;2144
8273;246970;226
8274;246980;74
8276;247260;58
8277;247460;1127
8279;247490;512
8280;247010;1004
8281;247020;120
8282;247030;556
8283;247060;868
8285;247070;76
8286;247080;1024
8287;247090;624
8288;247100;63
8289;247110;802
8290;247120;59
8291;247130;166
8292;247140;0
8293;247150;515
8294;247160;463
8295;247170;279
8296;247200;673
8297;247210;375
8298;247220;32
8299;247230;438
8300;247270;64
8301;247280;143
8303;248670;27
8304;250650;13
8305;250520;45
8306;250790;25
8307;250540;29
8308;250600;28
8309;250710;24
8310;250610;26
8311;250700;45
8312;250750;49
8313;250530;23
8314;250760;23
8315;250830;12
8316;250580;58
8317;250550;47
8318;250820;30
8319;250680;57
8320;250590;33
8321;250640;58
8322;250660;23
8323;250670;24
8324;250560;39
8325;250770;47
8326;250570;49
8327;239790;6
8328;239760;5
8329;239840;13
8330;239800;9
8331;239860;6
8332;239770;4
8333;241190;26
8334;241330;28
8335;239780;11
8336;239830;27
8337;238110;7
8338;239740;17
8339;239750;13
8340;239870;28
8341;238090;15
8343;238120;0
8344;239720;4
8345;241200;19
8346;241210;19
8347;239880;12
8348;239730;16
8350;742;62
8351;69941;6719
8352;99302;581
8354;63501;2026
8355;241820;812
8356;251380;2517
8357;71903;3437
8358;69942;2836
8359;99301;428
8373;236980;124
8374;172;5610
8375;173;0
8376;152;551
8377;157;1596
8378;161;844
8379;162;2870
8380;163;1250
8381;235330;18
8383;235330;18
8384;235310;1979
8386;237010;252
8387;226680;1802
8389;239140;47
8393;250970;0
8394;251000;1888
8395;251010;1880
8396;250980;1829
8397;250990;3155
8398;251020;1449
8399;251030;1411
8400;251040;2941
8401;251050;2904
8403;251060;2388
8407;251120;2872
8408;251110;5860
8410;251080;2383
8411;251070;2384
